industry_id,industry_level,industry_parent_id,industry_name_eng,industry_name_vie,element_count
0001,1,0,OIL & GAS ,Dầu Khí,27.0
1000,1,0,BASIC MATERIALS ,Vật liệu cơ bản,176.0
2000,1,0,INDUSTRIALS ,Công nghiệp,711.0
3000,1,0,CONSUMER GOODS ,Hàng tiêu dùng,305.0
4000,1,0,HEALTH CARE ,Y tế,63.0
5000,1,0,CONSUMER SERVICES ,Dịch vụ tiêu dùng,139.0
6000,1,0,TELECOMMUNICATIONS ,Viễn thông,10.0
7000,1,0,UTILITIES ,Dịch vụ công cộng,143.0
8000,1,0,FINANCIALS ,Tài chính,233.0
9000,1,0,TECHNOLOGY ,Công nghệ,39.0
0500,2,0001,Oil & Gas,Dầu khí,27.0
1300,2,1000,Chemicals,Hóa chất,59.0
1700,2,1000,Basic Resources,Tài nguyên,117.0
2300,2,2000,Construction & Materials,Xây dựng & Vật liệu,398.0
2700,2,2000,Industrial Goods & Services,Hàng hóa và dịch vụ công nghiệp,313.0
3300,2,3000,Automobiles & Parts,Ôtô & linh kiện phụ tùng ,10.0
3500,2,3000,Food & Beverage,Thực phẩm & Đồ uống,183.0
3700,2,3000,Personal & Household Goods,Đồ dùng cá nhân và đồ gia dụng,112.0
4500,2,4000,Health Care,Y tế,63.0
5300,2,5000,Retail,Dịch vụ bán lẻ,60.0
5500,2,5000,Media,Phương tiện truyền thông,34.0
5700,2,5000,Travel & Leisure,Du lịch & Giải trí,45.0
6500,2,6000,Telecommunications,Viễn thông,10.0
7500,2,7000,Utilities,Dịch vụ tiện ích,143.0
8300,2,8000,Banks,Ngân hàng,28.0
8500,2,8000,Insurance,Bảo hiểm,12.0
8600,2,8000,Real Estate,Bất động sản,132.0
8700,2,8000,Financial Services,Dịch vụ tài chính,61.0
9500,2,9000,Technology,Công nghệ,39.0
0530,3,0500,Oil & Gas Producers,Sản xuất dầu khí,11.0
0570,3,0500,"Oil Equipment, Services & Distribution","Dụng cụ, dịch vụ & Phân phối Dầu",16.0
1350,3,1300,Chemicals,Hóa chất,59.0
1730,3,1700,Forestry & Paper,Sản xuất giấy & Trồng rừng,20.0
1750,3,1700,Industrial Metals,Kim loại công nghiệp,39.0
1770,3,1700,Mining,Khai thác mỏ,58.0
2350,3,2300,Construction & Materials,Xây dựng & Vật liệu,398.0
2720,3,2700,General Industrials,Công nghiệp tổng hợp,40.0
2730,3,2700,Electronic & Electrical Equipment,Dụng cụ điện & Điện tử,29.0
2750,3,2700,Industrial Engineering,Công nghiệp cơ khí ,19.0
2770,3,2700,Industrial Transportation,Giao thông công nghiệp,149.0
2790,3,2700,Support Services,Dịch vụ hỗ trợ,76.0
3350,3,3300,Automobiles & Parts,Ôtô & phụ tùng ôtô,10.0
3530,3,3500,Beverages,Đồ uống,36.0
3570,3,3500,Food Producers,Sản xuất thực phẩm,147.0
3720,3,3700,Household Goods,Hàng gia dụng,39.0
3740,3,3700,Leisure Goods,Hàng hóa giải trí,8.0
3760,3,3700,Personal Goods,Hàng hóa cá nhân,60.0
3780,3,3700,Tobacco,Thuốc lá,5.0
4530,3,4500,Health Care Equipment & Services,Dụng cụ & dịch vụ y tế,10.0
4570,3,4500,Pharmaceuticals & Biotechnology,Dược phẩm & công nghệ sinh học,53.0
5330,3,5300,Food & Drug Retailers,Bán lẻ thực phẩm & thuốc,7.0
5370,3,5300,General Retailers,Bán lẻ,53.0
5550,3,5500,Media,Truyền thông,34.0
5750,3,5700,Travel & Leisure,Du lịch & Giải trí,45.0
6530,3,6500,Fixed Line Telecommunications,Viễn thông cố định,6.0
6570,3,6500,Mobile Telecommunications,Viễn thông di động,4.0
7530,3,7500,Electricity,Điện lực,58.0
7570,3,7500,"Gas, Water & Multiutilities","Ga, nước & dịch vụ công cộng gia dụng",85.0
8350,3,8300,Banks,Ngân hàng,28.0
8530,3,8500,Nonlife Insurance,Bảo hiểm phi nhân thọ,12.0
8630,3,8600,Real Estate Investment & Services,Dịch vụ Đầu tư Bất Động Sản,131.0
8670,3,8600,Real Estate Investment Trusts,Quỹ đầu tư Bất Động Sản,1.0
8770,3,8700,General Financial,Dịch vụ tài chính,50.0
8980,3,8700,Equity Investment Instruments,Công cụ đầu tư cổ phần,11.0
9530,3,9500,Software & Computer Services,Phần mềm & Dịch vụ máy tính,12.0
9570,3,9500,Technology Hardware & Equipmen,Dụng cụ & công nghệ phần cứng,27.0
0533,4,0530,Exploration & Production,Khai thác và sản xuất dầu khí ,3.0
0537,4,0530,Integrated Oil & Gas,Dầu khí tổng hợp,8.0
0573,4,0570,Oil Equipment & Services,Dịch vụ và Thiết bị dầu khí,16.0
1353,4,1350,Commodity Chemicals,Hóa chất cơ bản,22.0
1357,4,1350,Specialty Chemicals,Hóa chất đặc biệt,37.0
1733,4,1730,Forestry,Chế phẩm từ gỗ,11.0
1737,4,1730,Paper,Giấy,9.0
1753,4,1750,Aluminum,Nhôm,2.0
1755,4,1750,Nonferrous Metals,Kim loại màu,8.0
1757,4,1750,Steel,Thép,29.0
1771,4,1770,Coal,Than đá,15.0
1775,4,1770,General Mining,Khai khoáng nói chung,42.0
