stock_type,stock_floor,stock_code,stock_status,listed_date,corp_id,corp_name_eng,corp_name_vie,industry_id,industry_name_eng,industry_name_vie
IFC,HOSE,FUCVREIT,listed,2017-02-27,5169,Techcom Vietnam REIT Fund,Quỹ đầu tư bất động sản Techcom Việt Nam,8985,Equity Investment Instruments,Công cụ đầu tư cổ phần
IFC,HOSE,FUCTVGF3,listed,2021-10-27,14062,Thien Viet Growth Fund 3,Quỹ đầu tư tăng trưởng Thiên Việt 3,8985,Equity Investment Instruments,Công cụ đầu tư cổ phần
IFC,HOSE,FUCTVGF2,listed,2018-09-26,5771,Thien Viet Growth Fund 2,Quỹ Đầu tư Tăng trưởng Thiên Việt 2,8985,Equity Investment Instruments,Công cụ đầu tư cổ phần
IFC,HOSE,FUCTVGF1,delisted,2016-12-22,4833,TVAM Growth Fund,Quỹ đầu tư tăng trưởng TVAM,8985,Equity Investment Instruments,Công cụ đầu tư cổ phần
IFC,HOSE,MAFPF1,delisted,2007-12-28,2186,Manulife Progressive Fund,Quỹ đầu tư tăng trưởng Manulife,8985,Equity Investment Instruments,Công cụ đầu tư cổ phần
IFC,HOSE,ASIAGF,delisted,2012-06-26,3453,ACB Growth Fund,Quỹ đầu tư tăng trưởng ACB ,8985,Equity Investment Instruments,Công cụ đầu tư cổ phần
IFC,HOSE,VFMVF1,delisted,2004-11-08,528,Vietnam Securities Investment Fund,Quỹ Đầu Tư Chứng Khoán Việt Nam,8985,Equity Investment Instruments,Công cụ đầu tư cổ phần
IFC,HOSE,VFMVFA,delisted,2010-08-09,2862,Vietnam Active Fund,Quỹ Đầu tư năng động Việt Nam ,8985,Equity Investment Instruments,Công cụ đầu tư cổ phần
IFC,HOSE,PRUBF1,delisted,2006-12-04,1235,Eastspring Investments Fund Management Company,Quỹ đầu tư cân bằng Prudential,8985,Equity Investment Instruments,Công cụ đầu tư cổ phần
IFC,HOSE,VFMVF4,delisted,2008-06-12,2340,Vietnam Blue-chips Fund,Quỹ đầu tư Doanh nghiệp hàng đầu Việt Nam,8985,Equity Investment Instruments,Công cụ đầu tư cổ phần
STOCK,HNX,PJC,listed,2006-12-25,1265,Petrolimex Ha Noi Transportation and Trading Joint-Stock Company.,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội,2777,Transportation Services,Dịch vụ vận tải
